borrower_id,borrower_type,full_name,country_of_residence,city_of_residence,annual_income,annual_revenue,annual_ebit,is_deceased,current_internal_credit_rating,current_external_credit_rating,external_credit_scoring,date_of_birth,incorporation_date,group_id,created_at
1,corporate,Venture 1 BV,NL,Amsterdam,,32330303.65,3019232.99,false,AA,BB,452,,2010-08-03,,2021-04-03T05:38:35+00:00
2,individual,Nina Anders 2,NL,Amsterdam,35417.14,,,false,B,BB,491,1980-05-24,,,2025-12-17T08:23:25+00:00
3,corporate,Prime 3 GmbH,ES,Madrid,,20937507.18,5295524.25,false,B,A,355,,1973-04-15,300,2025-05-20T19:03:08+00:00
4,individual,Luca Davis 4,PT,Brussels,25854.6,,,false,BBB,AAA,860,1990-10-16,,,2024-12-21T08:01:36+00:00
5,corporate,Venture 5 Ltd,FR,Paris,,30080746.82,5907441.42,false,CCC,BBB,514,,1989-02-26,77,2024-10-19T14:17:54+00:00
6,corporate,Summit 6 BV,DE,Berlin,,27342127.09,1210134.1,false,A,BB,558,,2002-12-23,,2021-05-19T01:56:31+00:00
7,individual,Noah Smith 7,NL,Amsterdam,150227.67,,,false,AA,B,721,1981-10-04,,103,2020-11-12T15:56:22+00:00
8,individual,Sam Rossi 8,US,New York,73964.99,,,false,B,AA,735,1985-07-07,,218,2020-02-14T18:42:23+00:00
9,individual,Chris Martin 9,PT,Brussels,141178.49,,,false,BBB,A,738,1960-12-27,,,2019-06-28T23:24:37+00:00
10,corporate,Pinnacle 10 Ltd,DE,Berlin,,15799785.17,2608927.99,false,BB,A,290,,1990-08-27,,2022-06-18T10:51:33+00:00
11,corporate,Pinnacle 11 PLC,NL,Amsterdam,,10916671.64,2335508.15,false,BB,BBB,804,,1998-04-14,183,2025-06-09T15:44:50+00:00
12,individual,Luca Martin 12,IT,Milan,49437.65,,,false,CCC,B,288,1945-05-25,,,2019-02-15T01:10:31+00:00
13,individual,Taylor Martin 13,DE,Berlin,205071.57,,,false,BBB,BB,686,1995-05-13,,,2024-11-12T11:12:24+00:00
14,individual,Sam Garcia 14,NL,Amsterdam,72876.63,,,false,BB,BB,422,1987-05-21,,,2020-02-29T23:03:15+00:00
15,corporate,Nordic 15 SA,GB,London,,13143597.38,2014592.89,false,AA,B,280,,1996-03-03,41,2020-06-03T14:31:54+00:00
16,individual,Ava Anders 16,BE,Dublin,193038.68,,,false,BBB,AA,892,1971-09-12,,273,2024-09-04T05:58:11+00:00
17,individual,Alex Smith 17,NL,Amsterdam,149627.22,,,false,BB,BBB,605,1996-05-22,,9,2018-02-18T07:56:48+00:00
18,corporate,Atlas 18 SA,GB,London,,8776923.76,2263163.34,false,BBB,B,894,,2009-08-25,202,2023-01-10T13:24:39+00:00
19,corporate,Pinnacle 19 PLC,FR,Paris,,30739547.7,865193.46,false,A,AAA,307,,1999-10-31,,2025-10-21T09:22:14+00:00
20,individual,Noah Anders 20,BE,Dublin,97606.39,,,false,B,A,429,1951-10-03,,47,2025-04-01T06:24:21+00:00
21,corporate,Summit 21 GmbH,NL,Amsterdam,,8369560.68,1073444.4,false,BB,AAA,315,,2011-06-17,,2021-09-28T09:10:20+00:00
22,individual,Jordan Brown 22,NL,Amsterdam,208242.9,,,false,BB,BB,418,1965-04-06,,269,2024-11-22T00:36:25+00:00
23,individual,Taylor Meyer 23,NL,Amsterdam,96915.5,,,false,BBB,A,571,1983-05-03,,71,2023-01-12T13:07:54+00:00
24,corporate,Aurora 24 PLC,ES,Madrid,,6395105.16,1012676.87,false,BB,B,467,,1995-02-06,73,2024-07-08T11:38:32+00:00
25,individual,Chris Martin 25,FR,Paris,70973.12,,,false,CCC,BBB,720,1950-03-03,,137,2025-10-05T23:17:15+00:00
26,individual,Alex Martin 26,IE,Lisbon,117610.55,,,false,A,B,477,1957-08-24,,265,2024-09-10T00:24:09+00:00
27,individual,Luca Meyer 27,FR,Paris,80857.02,,,false,B,B,622,1986-06-05,,,2026-01-08T11:58:47+00:00
28,individual,Chris Rossi 28,GB,London,86498.57,,,false,CCC,AAA,672,1987-05-13,,,2021-01-05T02:18:36+00:00
29,individual,Alex Davis 29,GB,London,183836.24,,,false,B,AA,602,1980-05-27,,,2023-07-22T00:45:17+00:00
